time,open,high,low,close,Kernel Regression Estimate,Distance Above Kernel,Distance Below Kernel,Buy,Sell,StopBuy,StopSell,Upper Envelope: Far,Upper Envelope: Average,Upper Envelope: Near,Envelope Midline,Lower Envelope: Near,Lower Envelope: Average,Lower Envelope: Far,Chars,Chars,Chars,Chars,Shapes,Shapes,Qualified Strategy,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1638252000,1.33182,1.3369,1.33072,1.33631,1.3326357168664156,NaN,NaN,NaN,NaN,NaN,NaN,1.358034060736358,1.3477871042223217,1.3375401477082853,1.3328107831633456,1.3280814186184058,1.3178344621043694,1.3075875055903332,0,0,0,0,NaN,NaN,0,56.08561196215234,41.47054637589423,NaN,NaN,56.08561196215234,NaN
1638266400,1.33631,1.33704,1.33286,1.33453,1.332824766192923,NaN,NaN,NaN,NaN,NaN,NaN,1.3582164812218873,1.3479608802829088,1.3377052793439301,1.3329719250644017,1.3282385707848732,1.3179829698458945,1.307727368906916,0,0,0,0,NaN,NaN,0,50.7614413448927,41.28523547532975,NaN,NaN,NaN,NaN
1638280800,1.33453,1.33672,1.31948,1.32646,1.3323535518253151,NaN,NaN,NaN,NaN,NaN,NaN,1.3578345787838462,1.3475004094836012,1.3371662401833562,1.332396623583243,1.3276270069831297,1.3172928376828847,1.3069586683826397,0,0,0,0,NaN,NaN,0,34.68524039813576,40.7617462989957,34.68524039813576,34.68524039813576,NaN,NaN
1638295200,1.32646,1.33098,1.3253,1.33024,1.3320040312145887,NaN,NaN,NaN,NaN,NaN,NaN,1.3578284814411303,1.3474050576103258,1.3369816337795213,1.3321708227806885,1.3273600117818558,1.3169365879510513,1.3065131641202468,0,0,0,0,NaN,NaN,0,43.68224180153947,40.57909005369963,NaN,NaN,NaN,NaN
1638309600,1.33024,1.33146,1.32884,1.32936,1.3317592709642683,NaN,NaN,NaN,NaN,NaN,NaN,1.357734479886776,1.3472277716462868,1.3367210634057975,1.3318718134486487,1.3270225634914998,1.3165158552510106,1.3060091470105213,0,0,0,0,NaN,NaN,0,42.22402648212065,40.22791697906231,NaN,NaN,NaN,NaN
1638324000,1.32936,1.3327,1.32927,1.33262,1.3316792333377394,NaN,NaN,NaN,NaN,NaN,NaN,1.3579439263387492,1.3473571269078908,1.3367703274770324,1.3318841123550977,1.326997897233163,1.3164110978023047,1.3058242983714463,0,0,0,0,NaN,NaN,0,49.014265051611645,40.01677247162821,NaN,NaN,NaN,NaN
1638338400,1.33262,1.33322,1.32762,1.33117,1.3315344519806525,NaN,NaN,NaN,NaN,NaN,NaN,1.3580476398320596,1.3473741719732475,1.3367007041144354,1.331774488179599,1.3268482722447625,1.3161748043859505,1.3055013365271384,0,0,0,0,NaN,NaN,0,46.402043811305994,39.79704870033091,NaN,NaN,NaN,NaN
1638352800,1.33117,1.33444,1.33012,1.33435,1.3316114508310024,NaN,NaN,NaN,NaN,NaN,NaN,1.358449199336554,1.3476899725675138,1.3369307457984736,1.3319649488281473,1.326999151857821,1.3162399250887808,1.3054806983197407,0,0,0,0,NaN,NaN,0,52.39429810597256,39.71938198686315,NaN,NaN,52.39429810597256,NaN
1638367200,1.33435,1.3352,1.32982,1.33024,1.3315888867888677,NaN,NaN,NaN,NaN,NaN,NaN,1.358492747926639,1.347644348707686,1.3367959494887327,1.331788996003062,1.3267820425173913,1.315933643298438,1.305085244079485,0,0,0,0,NaN,NaN,0,45.33902868271624,39.77446939807305,NaN,NaN,NaN,NaN
1638381600,1.33024,1.33072,1.32621,1.32749,1.3312477901830009,NaN,NaN,NaN,NaN,NaN,NaN,1.3582903749946809,1.3473545811163676,1.3364187872380544,1.331371497755756,1.3263242082734576,1.3153884143951444,1.3044526205168312,0,0,0,0,NaN,NaN,0,41.32889437021795,39.707477508567,41.32889437021795,NaN,NaN,NaN
