"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"253","2025-07-05 00:00:04 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CAD","","28104.00","Sell","","","","","","","","","","","","",""
"254","2025-07-05 00:00:04 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/CAD","1.36074","28104.00","Sell","1.8587","","","","","0.00000","0.0000","0.0000","","0.7312","3.90430","","8502.87"
"255","2025-07-07 04:15:08 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","58257.00","Buy","","","","","","","","","","","","",""
"256","2025-07-07 04:15:08 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65639","58257.00","Buy","41.3625","","","","","0.00000","0.0000","0.0000","","","0.00000","","8502.87"
"257","2025-07-07 05:15:13 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/USD","","58257.00","Sell","","","","","","","","","","","","",""
"258","2025-07-07 05:15:13 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/USD","0.65519","58257.00","Sell","3.2041","","","","","0.00000","0.0000","0.0000","","1.0000","-69.90840","","8432.96"
"259","2025-07-07 07:00:03 +07","MARKET_ORDER","CLIENT_ORDER","AUD/USD","","57972.00","Sell","","","","","","","","","","","","",""
"260","2025-07-07 07:00:03 +07","ORDER_FILL","MARKET_ORDER","AUD/USD","0.65500","57972.00","Sell","2.0290","","","","","0.00000","0.0000","0.0000","","","0.00000","","8432.96"
"261","2025-07-07 08:00:03 +07","MARKET_ORDER","CLIENT_ORDER","USD/THB","","780.00","Buy","","","","","","","","","","","","",""
"262","2025-07-07 08:00:03 +07","ORDER_FILL","MARKET_ORDER","USD/THB","32.42400","780.00","Buy","0.2647","","","","","0.00000","0.0000","0.0000","","","0.00000","","8432.96"
"263","2025-07-07 08:00:04 +07","MARKET_ORDER","POSITION_CLOSEOUT","AUD/USD","","57972.00","Buy","","","","","","","","","","","","",""
"264","2025-07-07 08:00:04 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","AUD/USD","0.65390","57972.00","Buy","2.8986","","","","","0.00000","0.0000","0.0000","","1.0000","63.76920","","8496.73"
"265","2025-07-07 12:00:26 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/THB","","780.00","Sell","","","","","","","","","","","","",""
"266","2025-07-07 12:00:26 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","USD/THB","32.55800","780.00","Sell","0.2275","","","","","0.00000","0.0000","0.0000","","0.0306","3.19330","","8499.92"
"267","2025-07-07 13:00:05 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28087.00","Sell","","","","","","","","","","","","",""
"268","2025-07-07 13:00:05 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.36202","28087.00","Sell","1.9661","","","","","0.00000","0.0000","0.0000","","","0.00000","","8499.92"
"269","2025-07-07 17:00:22 +07","MARKET_ORDER","POSITION_CLOSEOUT","GBP/USD","","28087.00","Buy","","","","","","","","","","","","",""
"270","2025-07-07 17:00:22 +07","ORDER_FILL","MARKET_ORDER_POSITION_CLOSEOUT","GBP/USD","1.36060","28087.00","Buy","1.6852","","","","","0.00000","0.0000","0.0000","","1.0000","39.88350","","8539.80"
"271","2025-07-07 21:45:04 +07","MARKET_ORDER","CLIENT_ORDER","USD/CHF","","48278.00","Sell","","","","","","","","","","","","",""
"272","2025-07-07 21:45:04 +07","ORDER_FILL","MARKET_ORDER","USD/CHF","0.79625","48278.00","Sell","3.6376","","","","","0.00000","0.0000","0.0000","","","0.00000","","8539.80"
"273","2025-07-07 22:00:14 +07","MARKET_ORDER","CLIENT_ORDER","GBP/USD","","28176.00","Buy","","","","","","","","","","","","",""
"274","2025-07-07 22:00:14 +07","ORDER_FILL","MARKET_ORDER","GBP/USD","1.36368","28176.00","Buy","1.9723","","","","","0.00000","0.0000","0.0000","","","0.00000","","8539.80"
"275","2025-07-07 22:45:14 +07","MARKET_ORDER","POSITION_CLOSEOUT","USD/CHF","","48278.00","Buy","","","","","","","","","","","","",""
